eventType,guests,location,decor,date,final_budget
Corporate,642,Pune,Simple,2024-04-17,987255
Private,416,Pune,Simple,2025-05-24,690185
Private,854,Mumbai,Intermediate,2024-06-05,1305286
Corporate,915,Pune,Intermediate,2024-01-15,1362213
Destination,972,Mumbai,Premium,2024-11-25,1591913
Private,926,Mumbai,Premium,2024-10-21,1424114
Wedding,929,Delhi,Simple,2026-08-15,1387691
Corporate,999,Delhi,Premium,2024-07-11,1520284
Wedding,469,Mumbai,Premium,2025-12-18,968918
Corporate,948,Mumbai,Premium,2025-02-20,1475365
Private,814,Mumbai,Intermediate,2026-10-20,1232766
Corporate,597,Delhi,Simple,2025-05-11,962245
Wedding,810,Pune,Simple,2024-07-02,1209278
Corporate,533,Delhi,Simple,2024-09-15,871932
Destination,436,Delhi,Simple,2024-01-03,858739
Corporate,87,Delhi,Intermediate,2026-02-20,473932
Corporate,633,Pune,Simple,2025-05-05,975061
Corporate,846,Delhi,Intermediate,2026-12-05,1305993
Corporate,370,Mumbai,Premium,2026-05-23,842773
Destination,955,Pune,Simple,2026-10-21,1400616
Wedding,148,Delhi,Simple,2026-12-20,522777
Destination,470,Mumbai,Intermediate,2024-11-27,996916
Corporate,917,Delhi,Premium,2026-07-22,1408718
Destination,267,Delhi,Premium,2026-07-03,765008
Corporate,211,Delhi,Intermediate,2026-11-06,608618
Wedding,943,Mumbai,Premium,2025-07-10,1494378
Wedding,265,Delhi,Simple,2024-02-18,625238
Corporate,805,Mumbai,Intermediate,2025-02-21,1316257
Wedding,481,Pune,Premium,2026-04-30,939093
Wedding,302,Mumbai,Premium,2024-08-07,767372
Private,932,Delhi,Simple,2024-07-23,1282185
Private,931,Pune,Intermediate,2024-06-23,1312947
Private,349,Pune,Intermediate,2026-06-03,670146
Corporate,459,Delhi,Intermediate,2026-10-17,864203
Corporate,557,Pune,Simple,2025-01-15,898472
Private,117,Pune,Intermediate,2026-09-23,415353
Wedding,770,Delhi,Intermediate,2026-01-11,1266160
Private,746,Delhi,Simple,2026-05-23,1122611
Private,190,Pune,Simple,2024-10-21,419324
Private,782,Mumbai,Simple,2024-08-11,1169059
Wedding,586,Mumbai,Simple,2026-11-12,1022329
Corporate,686,Delhi,Intermediate,2026-11-14,1114150
Corporate,607,Pune,Premium,2026-07-04,1052656
Corporate,931,Mumbai,Premium,2024-12-16,1453836
Wedding,207,Mumbai,Intermediate,2026-08-16,612786
Private,907,Delhi,Intermediate,2024-02-13,1340439
Private,471,Mumbai,Premium,2026-02-08,941194
Destination,594,Delhi,Intermediate,2026-02-17,1075524
Corporate,689,Pune,Intermediate,2025-07-26,1078350
Destination,384,Delhi,Premium,2025-03-25,863405
Wedding,933,Delhi,Intermediate,2026-02-10,1411600
Wedding,913,Pune,Simple,2026-09-27,1331893
Wedding,974,Delhi,Premium,2025-01-13,1507530
Private,121,Mumbai,Intermediate,2024-09-04,447541
Private,106,Delhi,Premium,2026-11-12,505727
Destination,451,Mumbai,Premium,2025-06-13,1002279
Private,654,Delhi,Intermediate,2026-12-21,1050020
Private,386,Mumbai,Simple,2026-05-24,717276
Private,437,Pune,Intermediate,2025-08-07,767113
Private,722,Mumbai,Intermediate,2024-09-04,1119829
Wedding,884,Delhi,Intermediate,2026-05-07,1368827
Corporate,715,Delhi,Simple,2024-06-30,1086476
Destination,414,Mumbai,Simple,2025-05-12,860358
Destination,666,Pune,Simple,2025-02-08,1104880
Corporate,709,Pune,Simple,2025-11-04,1060145
Private,831,Mumbai,Premium,2025-06-22,1308321
Destination,95,Mumbai,Intermediate,2025-01-07,567252
Private,328,Delhi,Premium,2025-05-13,709829
Corporate,739,Mumbai,Premium,2025-12-11,1277734
Corporate,644,Pune,Simple,2024-01-17,1014303
Wedding,184,Delhi,Intermediate,2026-05-23,594271
Wedding,863,Mumbai,Simple,2024-11-16,1358762
Corporate,391,Delhi,Intermediate,2024-03-20,777161
Private,251,Pune,Premium,2025-06-06,636225
Corporate,193,Delhi,Premium,2025-10-31,618826
Destination,849,Pune,Simple,2025-02-19,1304577
Private,651,Mumbai,Premium,2026-08-16,1122060
Corporate,856,Delhi,Intermediate,2025-02-17,1298203
Wedding,278,Delhi,Premium,2024-10-10,706772
Destination,895,Mumbai,Premium,2026-01-04,1504984
Destination,388,Mumbai,Simple,2024-04-07,833375
Private,167,Pune,Premium,2026-10-01,514294
Wedding,324,Mumbai,Simple,2024-06-08,728021
Destination,874,Delhi,Premium,2026-09-17,1419630
Private,963,Pune,Simple,2025-01-20,1317487
Corporate,684,Pune,Intermediate,2026-08-31,1070487
Wedding,864,Delhi,Simple,2025-11-27,1296423
Destination,846,Pune,Simple,2025-09-30,1275478
Wedding,698,Pune,Premium,2024-07-23,1149844
Wedding,490,Pune,Intermediate,2026-03-08,865588
Wedding,314,Pune,Intermediate,2026-10-09,698142
Private,139,Pune,Premium,2024-01-13,520924
Private,406,Delhi,Intermediate,2024-05-01,735202
Wedding,616,Delhi,Simple,2026-01-31,1035838
Destination,501,Pune,Simple,2026-11-30,925656
Corporate,108,Delhi,Premium,2024-09-12,515679
Destination,627,Pune,Premium,2025-11-20,1127130
Destination,440,Pune,Simple,2026-08-11,818791
Destination,217,Mumbai,Intermediate,2024-11-12,670000
Corporate,456,Mumbai,Premium,2025-05-17,951891
Wedding,704,Pune,Simple,2026-02-27,1108511
Corporate,448,Mumbai,Intermediate,2026-12-02,869439
Destination,741,Pune,Intermediate,2024-10-24,1183028
Corporate,148,Pune,Premium,2025-09-30,538396
Corporate,632,Delhi,Simple,2025-03-16,990665
Corporate,390,Delhi,Premium,2026-02-25,856712
Destination,318,Delhi,Premium,2025-12-08,841279
Destination,181,Mumbai,Simple,2025-03-21,573964
Private,128,Pune,Intermediate,2026-10-04,434099
Destination,205,Mumbai,Intermediate,2024-12-27,668100
Destination,603,Mumbai,Simple,2024-05-11,1050475
Destination,817,Pune,Intermediate,2024-01-12,1330435
Destination,481,Delhi,Simple,2024-09-03,884757
Private,941,Pune,Simple,2025-02-18,1318659
Corporate,213,Mumbai,Simple,2026-10-20,557535
Wedding,664,Delhi,Premium,2024-03-22,1149829
Destination,862,Pune,Intermediate,2025-05-17,1340772
Corporate,145,Delhi,Intermediate,2025-03-17,505753
Corporate,256,Mumbai,Premium,2026-10-14,688681
Wedding,358,Delhi,Intermediate,2024-11-22,807607
Corporate,171,Pune,Simple,2026-01-13,489341
Destination,161,Pune,Intermediate,2025-04-21,529314
Destination,645,Delhi,Intermediate,2024-12-24,1165704
Destination,723,Pune,Simple,2025-05-23,1159668
Wedding,717,Pune,Simple,2025-11-12,1103717
Private,753,Pune,Simple,2025-11-07,1124708
Wedding,100,Pune,Premium,2024-07-15,508203
Wedding,927,Pune,Simple,2024-09-10,1323845
Wedding,851,Pune,Intermediate,2025-11-26,1291348
Wedding,955,Delhi,Premium,2026-08-15,1494988
Corporate,750,Pune,Simple,2025-09-03,1113843
Destination,327,Mumbai,Simple,2026-12-08,780539
Destination,494,Pune,Premium,2024-10-04,975866
Corporate,905,Mumbai,Intermediate,2025-08-10,1352146
Destination,766,Delhi,Premium,2025-05-26,1308474
Wedding,305,Delhi,Simple,2024-08-19,639207
Wedding,215,Pune,Premium,2024-03-02,632840
Corporate,931,Pune,Intermediate,2025-03-18,1343863
Wedding,812,Pune,Premium,2025-04-02,1276511
Wedding,594,Pune,Premium,2024-06-25,1035126
Corporate,308,Pune,Premium,2026-08-11,699403
Corporate,626,Delhi,Simple,2026-02-18,1030880
Corporate,353,Pune,Simple,2026-02-12,668429
Private,188,Mumbai,Intermediate,2025-08-15,544128
Corporate,794,Delhi,Intermediate,2026-04-19,1209499
Destination,692,Pune,Intermediate,2026-05-24,1141499
Corporate,426,Mumbai,Intermediate,2024-04-18,839142
Corporate,112,Delhi,Simple,2024-06-14,417863
Corporate,500,Pune,Intermediate,2024-05-03,895761
Wedding,174,Mumbai,Simple,2026-06-02,548839
Wedding,871,Delhi,Intermediate,2026-01-02,1360876
Private,658,Mumbai,Premium,2025-12-26,1141291
Corporate,742,Delhi,Simple,2026-09-23,1121883
Private,147,Pune,Intermediate,2024-12-08,477704
Wedding,337,Delhi,Premium,2024-06-26,787920
Private,461,Pune,Intermediate,2026-02-07,837184
Private,722,Pune,Simple,2024-01-15,1056248
Destination,954,Pune,Simple,2026-12-24,1439335
Private,879,Mumbai,Simple,2026-07-03,1289250
Destination,188,Pune,Premium,2025-05-04,653254
Private,288,Pune,Simple,2024-01-23,554926
Wedding,360,Mumbai,Simple,2026-10-08,734660
Corporate,600,Mumbai,Premium,2026-12-09,1083778
Private,689,Pune,Intermediate,2026-07-16,1038022
Private,857,Delhi,Premium,2025-02-01,1331049
Wedding,922,Mumbai,Intermediate,2026-02-13,1476549
Destination,87,Delhi,Intermediate,2026-05-01,524857
Wedding,243,Mumbai,Premium,2024-08-21,723575
Wedding,810,Delhi,Premium,2026-07-07,1333188
Corporate,781,Pune,Simple,2025-01-13,1154804
Private,579,Mumbai,Simple,2026-01-13,935274
Wedding,995,Delhi,Premium,2025-03-04,1549186
Wedding,96,Pune,Intermediate,2025-04-09,436848
Private,104,Mumbai,Simple,2026-10-19,407417
Wedding,276,Pune,Simple,2026-05-16,625883
Corporate,676,Pune,Premium,2025-11-14,1146314
Wedding,233,Mumbai,Premium,2026-04-26,698600
Destination,169,Mumbai,Simple,2025-01-19,574191
Corporate,790,Mumbai,Premium,2024-05-05,1287968
Private,886,Pune,Intermediate,2026-11-23,1308984
Corporate,624,Pune,Intermediate,2025-03-11,989576
Destination,597,Delhi,Premium,2026-11-11,1137745
Wedding,696,Pune,Premium,2026-11-21,1194134
Corporate,650,Pune,Intermediate,2024-06-12,1009278
Private,397,Mumbai,Premium,2026-10-25,832473
Corporate,277,Pune,Simple,2026-07-27,581132
Private,137,Pune,Simple,2024-08-18,359918
Wedding,101,Delhi,Intermediate,2024-06-23,491724
Wedding,250,Mumbai,Simple,2026-04-10,624169
Wedding,125,Delhi,Intermediate,2025-09-23,487719
Destination,825,Delhi,Premium,2025-03-23,1362921
Wedding,479,Delhi,Simple,2025-12-23,871153
Destination,608,Delhi,Intermediate,2024-11-13,1127364
Private,326,Pune,Simple,2025-06-20,611435
Corporate,515,Mumbai,Simple,2026-12-05,926057
Corporate,450,Mumbai,Premium,2026-04-14,915591
Wedding,699,Mumbai,Intermediate,2025-08-19,1189061
Corporate,327,Mumbai,Simple,2026-12-14,715897
Destination,373,Mumbai,Intermediate,2025-01-08,848552
Wedding,708,Pune,Premium,2025-03-06,1160496
Wedding,402,Mumbai,Simple,2024-06-06,773581
Private,687,Delhi,Simple,2026-11-14,1077658
Private,369,Delhi,Simple,2025-08-13,670069
Wedding,291,Delhi,Simple,2024-10-16,623268
Destination,241,Pune,Intermediate,2024-01-01,662808
Private,307,Mumbai,Simple,2026-03-04,611961
Corporate,201,Delhi,Simple,2025-06-25,511210
Wedding,267,Mumbai,Simple,2024-05-11,669992
Private,469,Mumbai,Simple,2026-12-27,811685
Corporate,119,Mumbai,Premium,2026-04-05,554860
Private,213,Pune,Premium,2025-04-10,571263
Corporate,972,Pune,Simple,2024-08-24,1365189
Corporate,141,Delhi,Intermediate,2026-05-12,500345
Private,321,Delhi,Premium,2024-09-18,702596
Wedding,478,Delhi,Premium,2025-07-17,965579
Corporate,163,Delhi,Intermediate,2026-09-11,529946
Corporate,804,Delhi,Intermediate,2026-09-21,1228358
Private,376,Delhi,Simple,2026-04-23,674474
Wedding,794,Pune,Intermediate,2025-08-31,1223072
Destination,391,Pune,Simple,2025-11-17,798537
Corporate,969,Pune,Premium,2026-10-27,1447731
Private,857,Mumbai,Simple,2026-07-08,1246486
Private,685,Pune,Premium,2025-10-20,1071342
Private,709,Delhi,Premium,2024-11-13,1165920
Wedding,715,Pune,Premium,2026-07-25,1194409
Wedding,679,Delhi,Premium,2025-11-23,1196310
Destination,323,Pune,Intermediate,2024-12-21,748929
Wedding,358,Mumbai,Simple,2026-08-05,735495
Wedding,768,Pune,Intermediate,2024-07-04,1190149
Corporate,788,Delhi,Premium,2026-05-15,1280439
Corporate,530,Pune,Intermediate,2024-11-21,939560
Corporate,607,Mumbai,Simple,2025-08-05,1004098
Corporate,660,Pune,Premium,2025-04-30,1079396
Private,476,Pune,Premium,2024-02-21,871551
Corporate,929,Mumbai,Premium,2025-04-06,1435020
Destination,150,Mumbai,Premium,2024-07-06,649624
Wedding,571,Pune,Intermediate,2024-05-17,981533
Wedding,142,Mumbai,Intermediate,2024-11-02,562638
Destination,874,Pune,Simple,2025-09-11,1327413
Private,631,Mumbai,Intermediate,2026-03-08,1025660
Wedding,406,Mumbai,Premium,2025-08-23,911504
Wedding,371,Mumbai,Premium,2024-06-12,850880
Destination,364,Pune,Intermediate,2026-05-08,796401
Destination,197,Pune,Premium,2025-02-19,647605
Destination,719,Pune,Simple,2024-02-09,1165317
Wedding,95,Delhi,Simple,2025-03-26,418767
Corporate,966,Mumbai,Premium,2024-07-19,1500586
Corporate,866,Pune,Premium,2024-11-24,1365669
Private,870,Delhi,Simple,2026-09-13,1220665
Destination,274,Delhi,Premium,2025-08-27,760230
Corporate,293,Mumbai,Simple,2026-01-03,677257
Destination,237,Pune,Simple,2025-07-18,590623
Private,866,Pune,Simple,2024-12-13,1228058
Destination,213,Delhi,Premium,2025-08-07,702261
Wedding,286,Pune,Premium,2026-09-24,689639
Wedding,703,Delhi,Simple,2025-04-04,1134430
Private,439,Delhi,Intermediate,2025-05-06,787564
Private,325,Pune,Intermediate,2024-06-20,639287
Corporate,773,Mumbai,Premium,2024-03-01,1284771
Private,239,Delhi,Simple,2026-11-17,539736
Private,892,Pune,Simple,2024-03-13,1226566
Private,291,Pune,Intermediate,2026-08-16,611176
Corporate,385,Pune,Simple,2026-01-12,703004
Corporate,688,Pune,Intermediate,2025-03-19,1074628
Wedding,491,Mumbai,Premium,2025-08-19,1007759
Destination,898,Mumbai,Intermediate,2024-01-08,1470983
Private,246,Pune,Simple,2025-05-20,518252
Corporate,401,Delhi,Simple,2025-08-05,742628
Wedding,912,Mumbai,Simple,2024-07-01,1349024
Wedding,357,Mumbai,Premium,2026-12-16,852697
Destination,282,Mumbai,Intermediate,2025-05-05,721614
Destination,674,Delhi,Simple,2025-10-07,1114322
Destination,794,Delhi,Intermediate,2024-09-17,1275557
Private,751,Delhi,Simple,2024-12-14,1143251
Destination,148,Delhi,Intermediate,2026-12-27,598258
Private,231,Pune,Simple,2026-08-08,490732
Wedding,345,Delhi,Intermediate,2025-10-03,740616
Private,666,Mumbai,Simple,2025-10-07,1031384
Destination,146,Delhi,Premium,2026-12-01,650156
Private,744,Mumbai,Intermediate,2025-06-25,1176320
Corporate,423,Delhi,Intermediate,2025-02-03,809644
Private,716,Mumbai,Simple,2025-10-12,1064275
Private,304,Pune,Simple,2024-10-31,572972
Corporate,388,Mumbai,Simple,2024-10-01,726357
Corporate,687,Mumbai,Intermediate,2024-02-24,1150150
Corporate,784,Delhi,Simple,2026-04-23,1176668
Private,378,Pune,Simple,2025-03-09,648310
Corporate,290,Delhi,Simple,2025-08-25,615055
Wedding,527,Mumbai,Simple,2025-09-13,944953
Wedding,935,Mumbai,Premium,2024-05-13,1495990
Corporate,770,Pune,Simple,2025-03-04,1121455
Corporate,842,Delhi,Simple,2024-04-25,1231687
Wedding,898,Pune,Intermediate,2025-11-21,1389436
Private,506,Pune,Simple,2026-02-20,827609
Wedding,687,Delhi,Simple,2026-11-13,1142261
Wedding,780,Pune,Simple,2026-04-22,1150462
Wedding,643,Mumbai,Intermediate,2026-05-08,1105917
Wedding,858,Delhi,Intermediate,2024-12-05,1325827
Destination,908,Mumbai,Intermediate,2025-02-01,1479014
Corporate,869,Mumbai,Simple,2026-08-14,1310155
Private,170,Mumbai,Premium,2025-09-12,571280
Corporate,780,Delhi,Intermediate,2024-11-20,1238390
Private,93,Mumbai,Premium,2025-10-08,484067
Destination,222,Pune,Premium,2026-06-09,665975
Corporate,538,Mumbai,Intermediate,2025-05-10,957720
Destination,166,Mumbai,Simple,2024-12-12,585098
Corporate,314,Pune,Simple,2024-05-15,626208
Corporate,900,Delhi,Intermediate,2025-06-21,1336569
Wedding,688,Pune,Intermediate,2026-07-25,1112618
Corporate,941,Delhi,Premium,2026-10-21,1437570
Private,607,Mumbai,Premium,2025-03-21,1086663
Destination,545,Delhi,Premium,2024-07-16,1044150
Wedding,210,Mumbai,Simple,2024-04-20,602421
Destination,611,Delhi,Simple,2026-01-08,1070984
Destination,654,Mumbai,Premium,2026-08-21,1243345
Private,671,Delhi,Simple,2025-12-23,1013864
Destination,261,Delhi,Premium,2024-06-08,735383
Corporate,555,Delhi,Intermediate,2025-12-01,961582
Destination,787,Pune,Intermediate,2025-08-03,1258356
Corporate,218,Mumbai,Premium,2024-02-22,666048
Destination,806,Pune,Intermediate,2025-11-20,1307702
Destination,494,Pune,Simple,2026-01-03,923294
Wedding,141,Pune,Premium,2026-01-04,540108
Private,152,Pune,Premium,2026-02-03,514224
Corporate,614,Pune,Intermediate,2024-11-01,1020008
Wedding,338,Delhi,Premium,2026-02-01,806611
Corporate,343,Mumbai,Intermediate,2025-09-25,748455
Wedding,708,Pune,Intermediate,2025-02-15,1169477
Destination,943,Pune,Premium,2024-01-26,1520998
Destination,184,Delhi,Premium,2024-03-14,669338
Wedding,902,Mumbai,Premium,2026-12-07,1482433
Corporate,463,Mumbai,Intermediate,2024-08-07,873580
Corporate,937,Mumbai,Intermediate,2026-05-24,1428053
Private,317,Delhi,Intermediate,2025-11-14,710715
Destination,135,Mumbai,Intermediate,2026-04-22,575019
Wedding,946,Mumbai,Simple,2025-06-16,1416245
Wedding,388,Pune,Premium,2026-01-03,859492
Private,285,Pune,Simple,2026-11-09,562797
Destination,690,Delhi,Intermediate,2026-11-27,1231502
Wedding,190,Mumbai,Intermediate,2026-12-05,617118
Wedding,654,Pune,Simple,2026-11-19,1036324
Private,747,Pune,Premium,2025-05-11,1139451
Corporate,334,Pune,Premium,2025-09-25,722981
Destination,96,Delhi,Premium,2025-08-27,557286
Wedding,979,Mumbai,Premium,2024-07-11,1524243
Private,707,Delhi,Premium,2025-10-17,1146606
Private,249,Delhi,Intermediate,2026-08-13,597373
Destination,914,Pune,Intermediate,2024-05-01,1383395
Corporate,336,Pune,Simple,2024-06-20,638006
Private,274,Mumbai,Intermediate,2025-11-26,674255
Destination,419,Mumbai,Intermediate,2025-04-10,890776
Wedding,314,Pune,Intermediate,2026-03-26,661533
Destination,183,Delhi,Intermediate,2026-02-01,639934
Private,670,Pune,Intermediate,2024-10-21,1017450
Corporate,557,Mumbai,Intermediate,2025-04-01,997355
Destination,761,Pune,Premium,2025-11-07,1301096
Corporate,786,Delhi,Simple,2024-07-11,1187284
Wedding,536,Mumbai,Premium,2026-12-16,1050559
Private,100,Mumbai,Premium,2024-10-21,477711
Private,301,Mumbai,Premium,2026-01-01,747046
Destination,297,Mumbai,Premium,2026-11-18,816999
Corporate,545,Mumbai,Simple,2025-01-09,963886
Wedding,976,Pune,Premium,2026-02-11,1500758
Destination,851,Mumbai,Premium,2026-12-13,1458154
Destination,277,Mumbai,Simple,2026-10-10,712089
Corporate,637,Pune,Premium,2026-04-02,1086047
Private,236,Pune,Premium,2025-03-22,593720
Corporate,831,Mumbai,Intermediate,2024-03-02,1298007
Corporate,170,Pune,Premium,2024-01-27,575873
Destination,935,Pune,Simple,2025-01-05,1396472
Corporate,181,Pune,Intermediate,2026-10-11,515014
Private,692,Delhi,Intermediate,2026-06-17,1071002
